document_id,equipment_id,eqnet_equipment_id,org_name,prefecture_before,prefecture_after,region_before,region_after,prefecture_source,match_mode,matched_org_name
eqnet-1092,eqnet-1092,1092,埼玉大学 科学分析支援センター,,埼玉県,,関東,eqnet_org_map,prefix,埼玉大学
eqnet-1093,eqnet-1093,1093,埼玉大学 科学分析支援センター,,埼玉県,,関東,eqnet_org_map,prefix,埼玉大学
eqnet-1094,eqnet-1094,1094,埼玉大学 科学分析支援センター,,埼玉県,,関東,eqnet_org_map,prefix,埼玉大学
eqnet-1095,eqnet-1095,1095,埼玉大学 科学分析支援センター,,埼玉県,,関東,eqnet_org_map,prefix,埼玉大学
eqnet-1097,eqnet-1097,1097,横浜国立大学 移設または廃棄済設備,,神奈川県,,関東,eqnet_org_map,prefix,横浜国立大学
eqnet-110,eqnet-110,110,佐賀大学 総合分析実験センター 総合分析実験センター,,佐賀県,,九州,eqnet_org_map,prefix,佐賀大学
eqnet-1109,eqnet-1109,1109,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1111,eqnet-1111,1111,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1112,eqnet-1112,1112,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1113,eqnet-1113,1113,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1114,eqnet-1114,1114,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1115,eqnet-1115,1115,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1116,eqnet-1116,1116,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1117,eqnet-1117,1117,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1118,eqnet-1118,1118,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1119,eqnet-1119,1119,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-112,eqnet-112,112,長崎大学 研究開発推進機構,,長崎県,,九州,eqnet_org_map,prefix,長崎大学
eqnet-1120,eqnet-1120,1120,富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,,富山県,,中部,eqnet_org_map,prefix,富山大学
eqnet-1121,eqnet-1121,1121,北陸先端科学技術大学院大学 マテリアルサイエンス系,,石川県,,中部,eqnet_org_map,prefix,北陸先端科学技術大学院大学
