doc_id,equipment_id,name,org_name,eqnet_equipment_id,status,before_general,before_detail,new_general,new_detail,category_changed,fallback
CVCRMEi6wD3VQxEdohfQ,TOHOKU-508,[508]卓上型エリプソ〔リンク〕,東北大学,,fallback,加工・処理,微細加工・デバイス作製・評価,その他,加工・処理 / 微細加工・デバイス作製・評価,True,True
CVMLJ2w3KBoMOOKbYsuP,RYUKYU-432,【研基セ】超純水製造装置(亜熱帯島嶼棟2F),琉球大学 研究基盤統括センター,,fallback,補助装置,,その他,補助装置,True,True
CVWkmFOeBxhMx9L0KNTe,NIMS-342-NF0277,イオンビームミリング複合装置 [16IBE-NIMS_SS],物質・材料研究機構 NIMS Open Facility,,fallback,加工・作製,微細加工,その他,加工・作製 / 微細加工,True,True
CVaZux5btS6JhCH7RsuM,CVaZux5btS6JhCH7RsuM,旋光計,鹿児島大学 先端科学研究推進センター 機器分析部門,,fallback,機器分析部門,産学交流プラザ1F,その他,機器分析部門 / 産学交流プラザ1F,True,True
CVyY8m7BOIpwO6ZONftx,KOCHI-8bb0a45f2b,細胞分離分析,高知大学 総合研究センター 生命機能解析部門 実験実習機器施設・RI実験施設,,fallback,免疫系,,その他,免疫系,True,True
CWFAYSkDR03bEpBJcMDr,AIST-NPF049,ナノプローバー[N-6000SS],産業技術総合研究所,,fallback,観察・計測・分析,,その他,観察・計測・分析,True,True
CWYMqxgEKHkowTEiR17G,CWYMqxgEKHkowTEiR17G,小型冷却遠心機,鳥取大学 共同利用設備,,fallback,遠心分離機,,その他,遠心分離機,True,True
CX0GVDj5DI2mCD7xO11G,OSAKA-417,溶液 600MHz Bruker,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,,fallback,核磁気共鳴(NMR),,その他,核磁気共鳴(NMR),True,True
CXoD5qcHPFXai4xxIRi7,CXoD5qcHPFXai4xxIRi7,"示差走査熱量測定装置(DSC, NEXTA DSC600)",群馬大学 コアファシリティ総合センター エンジニアリング分野,,fallback,,,その他,未分類,True,True
CYfRc7ROT2h3HwMDJDyO,HOKUDAI-AP-901577,動物用血球計数装置,北海道大学,,fallback,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,その他,バイオ関連分析装置_HU (Bio-related Analytical Equipment) / None,True,True
CbG43hZWcj7Ga7yNPHgo,CbG43hZWcj7Ga7yNPHgo,5軸立形マシニングセンタ,東京工業大学,,fallback,機械工作・加工,多軸制御・複合工作機械 / マシニングセンタ,その他,機械工作・加工 / 多軸制御・複合工作機械 / マシニングセンタ,True,True
Cc0nGfS1joRvbaeStSN8,Cc0nGfS1joRvbaeStSN8,ゼータ電位/粒径測定システム,九州大学 中央分析センター(伊都地区),,fallback,,,その他,未分類,True,True
CcAGy89JhZ4hXEtAG0SX,TOHOKU-022,[022]高精密質量分析装置(1),東北大学,,fallback,分析,質量分析,その他,分析 / 質量分析,True,True
Cd242F5ErfIFUNIxzED1,YAMAGUCHI-ipn167,全有機炭素計,山口大学 リサーチファシリティマネジメントセンター,,fallback,専用測定装置,一般全学共用機器,その他,専用測定装置 / 一般全学共用機器,True,True
CeymXvvyQCzalvb9fJ6D,TOHOKU-687,[687]ハイスループット性向上システム,東北大学,,fallback,バイオ関連,その他,その他,バイオ関連 / その他,True,True
CfT7MeYJGySnjn8DOMqv,CfT7MeYJGySnjn8DOMqv,DNA/RNA分析用マイクロチップ電気泳動装置,東京工業大学,,fallback,分析,分離分析装置 / 電気泳動装置,その他,分析 / 分離分析装置 / 電気泳動装置,True,True
CgHepTaseDNLwPBVCXyu,HOKUDAI-AP-100125,高圧凍結装置,北海道大学,,fallback,前処理装置 (Sample Preparation Equipment),真空乾燥器・凍結乾燥器 (Vacuum Dryer / Freeze Dryer),その他,前処理装置 (Sample Preparation Equipment) / 真空乾燥器・凍結乾燥器 (Vacuum Dryer / Freeze Dryer),True,True
ChAfbbwQp1dbnDERvU2B,TOYOHASHI-F-7000,分光蛍光光度計,豊橋技術科学大学 教育研究基盤センター,,fallback,分析支援部門,,その他,分析支援部門,True,True
ChU68MKKuvbfrfkSOWTb,HOKUDAI-AP-901821,差動型示差熱天秤,北海道大学,,fallback,質量分析装置_HU (Mass Spectrometer),None,その他,質量分析装置_HU (Mass Spectrometer) / None,True,True
ChdjOszD7Its8ROvJXC5,HOKUDAI-AP-100094,IVIS Spectrum Imaginng System (遺制研),北海道大学,,fallback,バイオ関連分析装置 (Bio-related Analytical Equipment),その他のバイオ関連分析装置 (その他のバイオ関連分析装置),その他,バイオ関連分析装置 (Bio-related Analytical Equipment) / その他のバイオ関連分析装置 (その他のバイオ関連分析装置),True,True
ChzIqsRSxN5ArtEskETN,TOHOKU-479,[479]ウェハ接合装置〔リンク〕,東北大学,,fallback,加工・処理,微細加工・デバイス作製・評価,その他,加工・処理 / 微細加工・デバイス作製・評価,True,True
Cj4P1L2qPTbp5EkauIKw,Cj4P1L2qPTbp5EkauIKw,電界放出型走査電子顕微鏡,東京工業大学,,fallback,観察、分析,電磁気分析装置 / 走査型電子顕微鏡,その他,観察、分析 / 電磁気分析装置 / 走査型電子顕微鏡,True,True
Cj5pxDfvSMCCc76bmqZ3,OSAKA-668,パラフィン包埋ブロック作製装置,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,,fallback,バイオ関連,組織切片作製装置,その他,バイオ関連 / 組織切片作製装置,True,True
CjGmZXNfoa6jLzNYCGt8,MIE-equipment17,フーリエ変換赤外分光システム(μFTIR),三重大学 研究基盤推進機構 先端科学研究支援センター オープンイノベーション施設,,fallback,分光分析装置,,その他,分光分析装置,True,True
CjufzoNXqUongHkt5NvH,CjufzoNXqUongHkt5NvH,走査型電子顕微鏡システム(SU3500),九州大学 中央分析センター(伊都地区),,fallback,,,その他,未分類,True,True
Ckc3LjFlcTiUzB1dS2jO,HOKUDAI-AP-901717,超純水純水装置,北海道大学,,fallback,周辺設備_HU (Peripheral Equipment),None,その他,周辺設備_HU (Peripheral Equipment) / None,True,True
CkoiKIB4FUmHY1SNAM74,TOYOHASHI-MILLING-MACHINE,NCフライス盤,豊橋技術科学大学 教育研究基盤センター,,fallback,工作支援部門,,その他,工作支援部門,True,True
Cl8B299SWQ5qwShXrRWX,HOKUDAI-AP-900823,ファイバー縫い付け機,北海道大学,,fallback,その他_HU (Others),None,その他,その他_HU (Others) / None,True,True
ClP6VsKV9AuG0OCWK8Q5,KYUSHU-ARAMIS,顕微レーザーラマン分光装置(ARAMIS),九州大学 中央分析センター(伊都地区),,fallback,,,その他,未分類,True,True
ClY8jEKM5uQUc9gjJKOr,ClY8jEKM5uQUc9gjJKOr,顕微レーザーラマン分光装置 LabRAM HR Evolution,京都大学 工学部・大学院工学研究科,,fallback,地球系,,その他,地球系,True,True
CmIhA2W42KftVNzD9oz9,TOHOKU-589,[589]X線光電子分光装置(NOVA)(Si室),東北大学,,fallback,分析,元素分析,その他,分析 / 元素分析,True,True
CnRoelegn9wvHvtWkcqO,AIST-NPF041,ウェハー酸化炉,産業技術総合研究所,,fallback,表面処理,,その他,表面処理,True,True
CnXUhJgmvntfLqsEMnvv,CnXUhJgmvntfLqsEMnvv,サーマルサイクラー (ABI Veriti),広島大学 自然科学研究支援開発センター 機器共用・分析部門,3561,matched,DNAシーケンサー (DNA) (関連機器も含む),,遺伝子・ゲノム,サーマルサイクラー(PCR),True,False
CoJ1QTmPr0OipFxvkgk0,OBIHIRO-183,高性能電気化学測定システム,帯広畜産大学 産学連携センター 共同利用設備ステーション,,fallback,共同利用設備ステーション,その他,その他,共同利用設備ステーション / その他,True,True
CoKMOHiQntHSvhckRDWw,HOKUDAI-AP-100250,透過型電子顕微鏡,北海道大学,,fallback,顕微鏡(電子) (Electron Microscopes),透過型電子顕微鏡(TEM) (Transmission Electron Microscope (TEM)),その他,顕微鏡(電子) (Electron Microscopes) / 透過型電子顕微鏡(TEM) (Transmission Electron Microscope (TEM)),True,True
CoSxOfcE7Z0ZEoJq7wPh,HOKUDAI-AP-901902,水銀光源,北海道大学,,fallback,周辺設備_HU (Peripheral Equipment),None,その他,周辺設備_HU (Peripheral Equipment) / None,True,True
Coe2pw6SBTWRvFZt7pzG,KITAMI-a_041,イオンスライサ (EM-09100IS),北見工業大学 共用設備センター,,fallback,分析・計測・試料作製関連,その他,その他,分析・計測・試料作製関連 / その他,True,True
ColErx1c2P5K0VqiH0DB,RYUKYU-483,【研基セ】実験台#2(亜熱帯島嶼棟205・206),琉球大学 研究基盤統括センター,,fallback,その他,,その他,その他,True,True
CqOeDLgEn9EvCzLj1GMa,CqOeDLgEn9EvCzLj1GMa,クリーンベンチ SANYO MCV-13BSS,新潟大学 農学部,,fallback,その他,クリーンベンチ,その他,その他 / クリーンベンチ,True,True
CqPCvMrRvYcQbPYXshGv,KANAZAWA-6,核磁気共鳴装置(ECA-600) (600 MHz),金沢大学 疾患モデル総合研究センター 機器分析研究施設,,fallback,機器分析研究施設,共同利用機器,その他,機器分析研究施設 / 共同利用機器,True,True
Cs4YtsuU5G9VZkoPWYBP,SAGA-2465,原子吸光分光光度計,佐賀大学 総合分析実験センター,3080,matched,研究設備,全学1,構造解析/元素分析,原子吸光光度計,True,False
Cs5d2tyKyyCV7f1GjEe4,OKAYAMA-DIA_005,円偏光ルミネッセンス測定システム,岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,,fallback,分析計測分野,光分析,その他,分析計測分野 / 光分析,True,True
CsSHMkIMIG7BVsvstGzI,NAGAOKA-flexsem,走査電子顕微鏡 Flex SEM,長岡技術科学大学 分析計測センター,,fallback,分析計測センター,共同利用機器および設備,その他,分析計測センター / 共同利用機器および設備,True,True
Csm9HbAm6iT5LAkuv9wm,Csm9HbAm6iT5LAkuv9wm,円二色性分散計,東京工業大学,,fallback,分析,光分析装置 / 旋光(偏光)分析装置,その他,分析 / 光分析装置 / 旋光(偏光)分析装置,True,True
Ct5jHsyjHzj6e00PAWBZ,AIST-MEMS027,ウェハ塵埃検査装置,産業技術総合研究所,,fallback,分析・評価,,その他,分析・評価,True,True
CtVIAfP0t2T8oNf4hjTI,CtVIAfP0t2T8oNf4hjTI,レーザラマン分光光度計システム,東京工業大学,,fallback,計測・測定,- / -,その他,計測・測定 / - / -,True,True
CuaeoFvWFegkfhQWD7aZ,TOHOKU-497,[497]深さ測定装置〔リンク〕,東北大学,,fallback,加工・処理,微細加工・デバイス作製・評価,その他,加工・処理 / 微細加工・デバイス作製・評価,True,True
CwQ2kpNrKNo0ZACXPqHF,CwQ2kpNrKNo0ZACXPqHF,日立高速アミノ酸分析計・LA8080,新潟大学 日本酒学センター,,fallback,分析機器,クロマトグラフィー,その他,分析機器 / クロマトグラフィー,True,True
CwRGx6hN3Hszc6Wt7Aex,HOKUDAI-AP-901443,マルチガスインキュベーター,北海道大学,,fallback,周辺設備_HU (Peripheral Equipment),None,その他,周辺設備_HU (Peripheral Equipment) / None,True,True
CwYFD2f1WDf7p06mgnPq,YAMAGUCHI-ipn169,超低温フリーザー,山口大学 リサーチファシリティマネジメントセンター,,fallback,保管/収納,一般全学共用機器,その他,保管/収納 / 一般全学共用機器,True,True
CxWxpI0ePXugQr4JNZZ4,TSUKUBA-222,高速冷却遠心機 J26S XP [No. 1],筑波大学 オープンファシリティー推進機構,,fallback,生体物質解析装置,,その他,生体物質解析装置,True,True
CykXsARzFitH6m4kAGpc,AIST-MEMS002,ウェハスピン洗浄装置,産業技術総合研究所,,fallback,処理,,その他,処理,True,True
Cyy6hbzeJFLWHmE9caIS,HOKUDAI-AP-901310,マイクロ波周波数カウンター,北海道大学,,fallback,物性測定装置_HU (Physical Property Measurement Equipment),None,その他,物性測定装置_HU (Physical Property Measurement Equipment) / None,True,True
Cz15i3ZQ0OQh8r0uFcNt,HOKUDAI-AP-901915,小型振動試験装置 加振器,北海道大学,,fallback,周辺設備_HU (Peripheral Equipment),None,その他,周辺設備_HU (Peripheral Equipment) / None,True,True
CzCp4f8fh28aftSVi5Xb,HOKUDAI-AP-901966,プラズマクリーナー,北海道大学,,fallback,前処理装置_HU (Sample Preparation Equipment),None,その他,前処理装置_HU (Sample Preparation Equipment) / None,True,True
CzRgG2guFHKTRNJobeaw,KYUTECH-ENT-1100a,超微小押し込み硬さ試験機(ナノ・インデンテーション・テスター),九州工業大学 機器分析センター,,fallback,機器分析センター,,その他,機器分析センター,True,True
