doc_id,name,org_name,category_general,category_detail,papers_count
ZFgYN0hKPsQIonFk19kZ,300MHz核磁気共鳴装（Bruker）,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
sMUBxtsm2WW47TnS6Vhq,30cmイメージング回折格子分光器,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,分光分析,時間分解分光測定装置,3
fnDFF5gZggk7M6cIIjuP,30kg高周波誘導真空溶解設備,物質・材料研究機構 NIMS Open Facility,加工・作製,素材作製,3
NskSbUoFNUCh2UAN5zFj,3130ジェネティックアナライザ 1号機 (遺制研),北海道大学,バイオ関連分析装置 (Bio-related Analytical Equipment),DNA シーケンサ (DNA Sequencer),3
KMCgHnSgUhx3GkLMiwfn,32ch actiCHamp,北海道大学,その他_HU (Others),None,3
otX6yKYsQlc2U3S97SK3,3D DIC&モーション計測,北海道大学,その他_HU (Others),None,3
C6DUwmsTUNpywvAvEzZe,3D X線顕微鏡,長岡技術科学大学 分析計測センター,分析計測センター,共同負担・共同管理機器および設備,3
Qi3wB3OZw9L9yTJ1fynB,3D-SIM超解像度イメージングシステム(故障中) (ライカ DeltaVision OMX),広島大学 自然科学研究支援開発センター 機器共用・分析部門,共焦点レーザー顕微鏡(CLSM) (他光学顕微鏡も含む),,3
0SPJ41WAdBX1LsVxqKW7,3D/4D蛍光画像解析ソフトウェア,佐賀大学 総合分析実験センター,研究設備,全学2,3
sbIeozQzj7byGmx7Fjnp,3Dスキャナ,北海道大学,その他_HU (Others),None,3
OCvabyFyv6mEDWyzHe2v,3Dスキャナー,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
v1gUy1dPMKKA1NNuS18X,3Dスキャナー,北海道大学,その他_HU (Others),None,3
Z6ZYrAnlAwAsbXdjasi8,3Dプリンタ,宇都宮大学 研究推進機構 機器分析センター,学内共用設備,その他,3
mvHeWRPnzgxqa2wHKaqo,3Dプリンタ,徳島大学 地域協働技術センター,3Dプリンタ,,3
4XheR15Myymx0LbKc4iT,3Dプリンタ (MF-1000),北見工業大学 共用設備センター,工作・加工関連,その他,3
Geo6vL0akPwurtYcmNtB,3Dプリンタ (UP BOX＋),北見工業大学 共用設備センター,工作・加工関連,その他,3
9mHA6wcY8V1ZmRrIzMcS,3Dプリンタ (UP BOX＋) [c_053],北見工業大学 共用設備センター,工作・加工関連,その他,3
zbY4qgZK4bjNMYHGepyh,3Dプリンタ Form3,北海道大学,その他_HU (Others),None,3
t6CzFvITPmP98Bbp2RbX,3Dプリンタ 株式会社キーエンス アジリスタ3110,熊本大学工学部附属工学研究機器センター,Ｘ線回析室,,3
I2n30Ng9EYOUxlXc6YVh,3Dプリンター,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
lLja7HkKKqtRvFUj5wuZ,3Dプリンター,北海道大学,その他_HU (Others),None,3
qFSo7q55jopLJkbFICo7,3Dプリンター,北海道大学,微細加工・表面加工装置_HU (Microfabrication & Surface Processing Equipment),None,3
8r0MsQ2biGonBi20R14o,3Dプリンター（樹脂用）,宮崎大学 工学部 ものづくりセンター,加工機,,3
ZmWjWhOau35Curs2jiyS,3DマイクロX線CT,山口大学 リサーチファシリティマネジメントセンター,画像撮影/解析,コアファシリティ機器,3
aEzhtOGBl9pesVnWk96N,3DマイクロX線CT,佐賀大学 総合分析実験センター,研究設備,全学2,3
1hPqNREwTJFLlKqDt6uv,3Dレーザースキャナー,東京工業大学,計測・測定,長さ・角度・形状 / 表面・形状・体積,3
OkLB99IsgTU5H2OcOZqV,3D形状測定機（3D-CMM）,東京工業大学,計測・測定,長さ・角度・形状 / 表面・形状・体積,3
0ETtIhtHkwEHGF8wNUbD,3D測定レーザー顕微鏡,北海道大学,顕微鏡(その他)_HU (Other Microscopes),None,3
GMT7Yur37AUA0ZWyI77o,3D測定レーザー顕微鏡(OLS4500),九州大学 中央分析センター(伊都地区),,,3
ZvP4WWIxJfA2c7Dp1R23,3D画像処理ソフトウェア,山口大学 リサーチファシリティマネジメントセンター,電子顕微鏡および関連機器,その他主要機器,3
dI6L4tVB3fbOBm41pFzj,3D解析ソフト(オプション;欠陥・介在物モジュール),佐賀大学 総合分析実験センター,研究設備,全学2,3
PCDkksnUBegNyJeA8VZC,3T-MRI磁気共鳴断層撮影装置システム,北海道大学,磁気共鳴装置_HU (Magnetic Resonance Equipment),None,3
ikqjxKuD0EPgI7kXDKk2,3T磁気共鳴断層撮影装置,東京工業大学,分析,電磁気分析装置 / 磁気共鳴装置（ＮＭＲ）,3
O1qrYgdPerCSjsA62Ixy,3ゾーン式セラミック電気管状炉,北海道大学,その他_HU (Others),None,3
DWQcinYveoMNuhR7F3GD,3次元SEM画像測定解析システム VE-8800,九州大学 中央分析センター(伊都地区),,,3
ZIsQrVvwrLUNPiDXblKn,3次元SEM画像測定解析システム VE-8800,九州大学 工学研究院部局管理装置,,,3
eJBnw4iecfbwIR31bA0C,3次元SEM画像測定解析システム VE-8800,九州大学 中央分析センター部局管理装置(筑紫地区),,,3
hBKd04alHXb8speJhvjR,3次元SEM画像測定解析システム VE-8800,九州大学 中央分析センター(筑紫地区),,,3
