doc_id,doi,source,status,error
0o0CirKetf2R34yc1PKD,10.1038/s42004-025-01839-x,openalex,ready,
0o0CirKetf2R34yc1PKD,10.1007/s12104-025-10251-4,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0o0CirKetf2R34yc1PKD,10.1038/s41598-025-28860-3,openalex,ready,
0oCPE6OM2sepzymC53jP,10.31643/2027/6445.10,openalex,ready,
0oCPE6OM2sepzymC53jP,10.1080/19490976.2025.2601430,openalex,ready,
0oCPE6OM2sepzymC53jP,10.1080/17441692.2025.2612452,openalex,ready,
0oPUTI0h9ODyy3CilkNa,10.1186/s12859-025-06333-8,openalex,ready,
0oPUTI0h9ODyy3CilkNa,10.1186/s12985-025-03033-w,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0oPUTI0h9ODyy3CilkNa,10.1186/s12951-025-03830-z,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0ohZJJeLRjMU0y0DGKJf,10.1186/s42523-025-00503-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0ohZJJeLRjMU0y0DGKJf,10.1007/s11657-025-01644-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0ohZJJeLRjMU0y0DGKJf,10.1186/s12891-025-09382-5,openalex,ready,
0p0ihLLBgk8fiGBZyFpz,10.1080/10872981.2026.2616194,openalex,ready,
0p0ihLLBgk8fiGBZyFpz,10.12957/redp.2026.90910,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
0p0ihLLBgk8fiGBZyFpz,10.1186/s42523-025-00503-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0pBWvk4yD9M6MGBtHvw4,10.12957/redp.2026.90910,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
0pBWvk4yD9M6MGBtHvw4,10.19139/soic-2310-5070-3032,openalex,ready,
0pBWvk4yD9M6MGBtHvw4,10.31127/tuje.1804146,openalex,ready,
0pc0N6JMVc94EQ3mWaR6,10.1016/j.envc.2025.101385,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0pc0N6JMVc94EQ3mWaR6,10.1016/j.micromeso.2025.113840,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0pc0N6JMVc94EQ3mWaR6,10.3390/s26010261,openalex,ready,
0rLXJ8oD0parY4I0DOJL,10.1038/s43246-025-01025-5,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0rLXJ8oD0parY4I0DOJL,10.1038/s41598-025-31292-8,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0rLXJ8oD0parY4I0DOJL,10.1007/s00276-025-03781-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0rZwyr9t5li3kgdWTmkm,10.1007/s00403-025-04406-5,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0rZwyr9t5li3kgdWTmkm,10.1016/j.inoche.2026.116197,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0rZwyr9t5li3kgdWTmkm,10.1016/j.neucom.2025.132477,openalex,ready,
0rhzMrrIdX77ay3482KU,10.1108/dpm-05-2025-0145,openalex,ready,
0rhzMrrIdX77ay3482KU,10.4025/actascihealthsci.v48i1.75131,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
0rhzMrrIdX77ay3482KU,10.1186/s12944-025-02815-z,openalex,ready,
0sAnHwWgZA5qbQyC8JvU,10.1364/jocn.575280,openalex,ready,
0sAnHwWgZA5qbQyC8JvU,10.1186/s42523-025-00503-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
