eqnet_equipment_id,large_category_id,large_category_name,category_id,category_name_raw,category_small_name,equipment_count_hint,source_total,candidate_count,has_conflict
393,39,構造解析/元素分析,46,原子吸光光度計 (9 台),原子吸光光度計,9,9,1,False
398,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
400,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
401,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
404,74,物性計測/成分分析,79,"磁気特性測定装置(SQUID, VSM) (33 台)","磁気特性測定装置(SQUID, VSM)",33,33,1,False
407,26,光分析装置,29,"光電子分光装置 (XPS, UPS, ESCA, PYS) (17 台)","光電子分光装置 (XPS, UPS, ESCA, PYS)",17,17,1,False
409,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
411,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
412,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
422,10,核磁気共鳴装置(NMR),15,300MHz 固体NMR装置 (4 台),300MHz 固体NMR装置,4,4,1,False
423,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
424,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
431,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
436,142,熱分析・熱測定装置,143,熱分析・熱測定装置 (59 台),熱分析・熱測定装置,59,59,1,False
439,83,分離分析装置,85,アミノ酸分析 (5 台),アミノ酸分析,5,5,1,False
440,130,質量分析装置(MS),141,その他 (35 台),その他,35,35,1,False
442,130,質量分析装置(MS),138,GC-MS(その他) (13 台),GC-MS(その他),13,13,1,False
443,130,質量分析装置(MS),135,LC-MS/LC-MS-MS(フーリエ変換型) (5 台),LC-MS/LC-MS-MS(フーリエ変換型),5,5,1,False
445,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
446,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
448,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
450,157,電子顕微鏡および関連機器,163,透過型電子顕微鏡 (TEM) (83 台),透過型電子顕微鏡 (TEM),83,83,1,False
451,157,電子顕微鏡および関連機器,163,透過型電子顕微鏡 (TEM) (83 台),透過型電子顕微鏡 (TEM),83,83,1,False
452,39,構造解析/元素分析,47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,34,1,False
453,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
454,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
455,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
456,130,質量分析装置(MS),138,GC-MS(その他) (13 台),GC-MS(その他),13,13,1,False
458,39,構造解析/元素分析,48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,37,1,False
460,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
461,130,質量分析装置(MS),139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,40,1,False
462,10,核磁気共鳴装置(NMR),20,600MHz NMR装置 (28 台),600MHz NMR装置,28,28,1,False
463,10,核磁気共鳴装置(NMR),21,600MHz 固体NMR装置 (9 台),600MHz 固体NMR装置,9,9,1,False
464,10,核磁気共鳴装置(NMR),22,700MHz NMR装置 (3 台),700MHz NMR装置,3,3,1,False
466,130,質量分析装置(MS),137,GC-MS/GC-TOF-MS (18 台),GC-MS/GC-TOF-MS,18,18,1,False
467,130,質量分析装置(MS),140,ハイブリッドTOF-MS (12 台),ハイブリッドTOF-MS,12,12,1,False
468,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
469,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
470,39,構造解析/元素分析,47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,34,1,False
471,39,構造解析/元素分析,47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,34,1,False
474,26,光分析装置,33,可視・紫外分光光度計 (30 台),可視・紫外分光光度計,30,30,1,False
475,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
477,130,質量分析装置(MS),140,ハイブリッドTOF-MS (12 台),ハイブリッドTOF-MS,12,12,1,False
478,7,ペプチド/タンパク解析装置,9,プロテインシーケンサー (4 台),プロテインシーケンサー,4,4,1,False
