seq,doc_id,name,org_name,category_general,category_detail,papers_count
4019,LYapGYdUuqsFMdiuK5QD,超高分解能電界放出形走査電子顕微鏡(FE-SEM) Regulus8220,京都大学 工学部・大学院工学研究科,化学系 コアラボ,,3
4020,0YvHk0IxAkL0mZ0ZqtUO,超高圧水銀光源,北海道大学,顕微鏡(光学)_HU (Optical Microscopes),None,3
4021,FIBfCBL0xjwvzRbyvble,超高圧電子顕微鏡群,北海道大学,顕微鏡(電子) (Electron Microscopes),透過型電子顕微鏡(TEM) (Transmission Electron Microscope (TEM)),3
4022,61h8QIAFtHxQMSUmSAny,超高感度 化学発光・蛍光 撮影解析システム,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
4023,8iSVGAQIcEnBNgAxVuhu,超高感度DSC,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
4024,aTQiQ4y4YR5sAwC02hwe,超高感度イムノアッセイシステム,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
4025,idk0dRkY2QH800LrYYTa,超高感度シングルチューブルミノメーター,北海道大学,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,3
4026,IS7fxYdtAp9zSwf4UuwR,超高感度多機能蛍光分光光度計,北海道大学,分光分析装置_HU (Spectroscopic Analysis Equipment),None,3
4027,LfelAT7xOoqQ52oYZsVu,超高感度測定用NMR装置(AVANCEⅢ600),九州大学 工学研究院部局管理装置,,,3
4028,qYEfAzxTUQPipZK0gf4w,超高感度測定用NMR装置(AVANCEⅢ600),九州大学 中央分析センター部局管理装置(筑紫地区),,,3
4029,tSmTrqAwZ2BUKpyv1dMy,超高感度測定用NMR装置(AVANCEⅢ600),九州大学 中央分析センター(筑紫地区),,,3
4030,tgzVotZp7d97uGcq2CW1,超高感度測定用NMR装置(AVANCEⅢ600),九州大学 中央分析センター(伊都地区),,,3
4031,w2sXeHOehy5IefAz31V7,超高感度測定用NMR装置(AVANCEⅢ600),九州大学 人間環境学研究院部局管理装置,,,3
4032,0Z6wyp1JaEmbWxnkUpwi,超高感度示差走査熱量計(DSC6100),九州大学 中央分析センター(筑紫地区),,,1
4033,ilPHRHWABvaPSYdzmAj0,超高感度示差走査熱量計(DSC6100),九州大学 中央分析センター(伊都地区),,,1
4034,ecSqnCrXnb17gfdkcKkF,超高感度示差走査熱量計（DSC） Micro DSC Ⅶ/Micro SC,新潟大学 農学部,熱的測定,熱分析,3
4035,qDTIXbfnFbOWgHGp90wg,超高温電気炉,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
4036,sbxUhEraF8q7E6MfPgPM,超高真空エッチング装置,熊本大学工学部附属工学研究機器センター,ULSIプロセス実験室およびULSIプロセス評価室,,3
4037,NDy38pck5dQxTylnke7y,超高精度電子ビーム描画装置 100 kV,北海道大学,微細加工・表面加工装置 (Microfabrication & Surface Processing Equipment),電子線描画装置(EB) (Electron Beam Lithography System),3
4038,AkI0nFQA7j01IpCfR5Ze,超高精度電子ビーム描画装置 100kV,北海道大学,微細加工・表面加工装置 (Microfabrication & Surface Processing Equipment),電子線描画装置(EB) (Electron Beam Lithography System),3
4039,v2IyDNdPGpIwZF0v96n9,超高精度電子ビーム描画装置 125kV,北海道大学,微細加工・表面加工装置 (Microfabrication & Surface Processing Equipment),電子線描画装置(EB) (Electron Beam Lithography System),3
4040,fdPSrNfKrCmK91DF0WnX,超高純度薄膜形成装置,東京工業大学,半導体・MEMS加工,前工程装置 / 薄膜形成装置,3
4041,ARMTrZm8MNTWBolkUxHQ,超高解像度光学顕微鏡 (SIM),大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,光学顕微鏡,超解像光学顕微鏡,3
4042,Nfhx2zN8xhufv5xxWEGk,超高輝度LED光源,北海道大学,周辺設備_HU (Peripheral Equipment),None,3
4043,77xKkyaT1zBcWjs1uVlP,超高速HPLC分離・分子構造分析システム,九州大学 工学研究院部局管理装置,,,3
4044,DE3smmpr4BMPsKJVLLkd,超高速HPLC分離・分子構造分析システム,九州大学 中央分析センター部局管理装置(筑紫地区),,,3
4045,bBV7Dft8z9BtigtzDry5,超高速HPLC分離・分子構造分析システム,九州大学 中央分析センター(筑紫地区),,,3
4046,lr6TMB4gsv1ZO7GmhsyU,超高速HPLC分離・分子構造分析システム,九州大学 中央分析センター(伊都地区),,,3
4047,qpxHdiqzB87yYUyYIUjb,超高速スキャン高精度電子ビーム露光装置,北海道大学,微細加工・表面加工装置 (Microfabrication & Surface Processing Equipment),電子線描画装置(EB) (Electron Beam Lithography System),3
4048,MfEbd33DzALlIMo4IKGo,超高速スキャン高精度電子ビーム露光装置 130kV,北海道大学,微細加工・表面加工装置 (Microfabrication & Surface Processing Equipment),電子線描画装置(EB) (Electron Beam Lithography System),3
4049,ld0vQUIRW36fsJlJd2Xn,超高速レーザー共焦点顕微鏡,北海道大学,顕微鏡(光学) (Optical Microscopes),レーザー顕微鏡 (Laser Microscope),3
4050,qO6IVpFPrs2qSm7G614Q,超高速液体クロマトグラフ,北海道大学,クロマトグラフ_HU (Chromatography Equipment),None,3
4051,jlZHttdrHF1YtL4PXHop,超高速液体クロマトグラフ・トリプル四重極質量分析装置 Shimadzu Prominence UFLC System/QTRAP® 5500 System,東京大学,研究設備,,3
4052,UZjU9lD4BzA1xLYUw5AV,超高速液体クロマトグラフ低圧グラジエントシステム,北海道大学,クロマトグラフ_HU (Chromatography Equipment),None,3
4053,YNU-LC_LACHROMULTRA,超高速液体クロマトグラフ（UHPLC）,横浜国立大学 機器分析評価センター,研究設備,,3
4054,BepwLK42NlikrBWfR9AD,軽元素同位体分析システム(MAT 253),九州大学 中央分析センター(筑紫地区),,,3
4055,RcvlwvxLtbzHOdKc2pML,軽元素同位体分析システム(MAT 253),九州大学 中央分析センター部局管理装置(筑紫地区),,,3
4056,cO0MQdCUQYmzjimPFzPY,軽元素同位体分析システム(MAT 253),九州大学 工学研究院部局管理装置,,,3
